City,Price,Day,Room Type,Shared Room,Private Room,Person Capacity,Superhost,Multiple Rooms,Business,Cleanliness Rating,Guest Satisfaction,Bedrooms,City Center _km_,Metro Distance _km_,Attraction Index,Normalised Attraction Index,Restraunt Index,Normalised Restraunt Index
Barcelona,156.1664,Weekend,Private room,FALSE,TRUE,2,FALSE,1,0,10,73,1,1.4065,0.6672,522.1824,20.1621,982.9947,21.5931
Barcelona,387.5067,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,10,73,1,1.0838,0.3459,700.9887,27.066,1873.4203,41.1527
Barcelona,196.8953,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,9,73,1,1.7687,0.1794,340.2079,13.1358,895.3349,19.6675
Barcelona,142.4349,Weekend,Private room,FALSE,TRUE,2,FALSE,1,0,7,73,2,4.0058,0.3539,224.0146,8.6495,359.1191,7.8886
Budapest,50.524,Weekday,Private room,FALSE,TRUE,2,FALSE,0,1,5,73,1,6.2679,0.5906,51.3506,3.0623,79.5238,6.0218
Budapest,50.289,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,5,73,1,6.2679,0.5906,51.3505,3.0648,79.5237,6.9518
Lisbon,91.6979,Weekday,Private room,FALSE,TRUE,2,FALSE,0,1,8,73,1,1.4605,0.5394,152.7217,5.042,487.1377,21.7866
Lisbon,124.2964,Weekday,Private room,FALSE,TRUE,2,FALSE,0,1,8,73,1,1.4072,0.3029,165.7647,5.4726,533.0154,23.8384
Lisbon,157.833,Weekday,Private room,FALSE,TRUE,2,FALSE,0,1,7,73,1,2.0872,0.1537,123.7105,4.0842,387.7736,17.3427
Lisbon,157.1295,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,7,73,1,2.0872,0.1537,123.7106,4.0804,387.7742,21.7939
Lisbon,91.4634,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,8,73,1,1.4605,0.5394,152.7203,5.0372,487.1337,27.3782
Lisbon,123.8274,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,8,73,1,1.4072,0.3029,165.7641,5.4674,533.0141,29.9568
Lisbon,117.0263,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,9,73,1,1.1348,0.1279,194.8573,6.427,520.9805,29.2805
Paris,1170.1929,Weekday,Private room,FALSE,TRUE,2,FALSE,0,0,6,73,1,1.7141,0.07,671.3316,32.6802,1373.562,80.7099
Paris,339.5004,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,8,73,0,0.8833,0.1848,459.5578,22.3711,1114.3317,65.4776
Paris,312.9369,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,8,73,1,2.3832,0.1752,430.0244,20.9334,997.4709,58.6109
Paris,207.8479,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,7,73,0,5.24,0.183,277.7186,13.5192,610.1063,35.8496
Paris,195.4982,Weekday,Private room,FALSE,TRUE,2,FALSE,1,0,7,73,1,4.073,0.296,220.3174,10.725,479.4029,28.1695
Paris,195.4982,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,9,73,0,3.111,0.103,352.6063,17.1648,777.9116,45.7097
Paris,1170.1929,Weekend,Private room,FALSE,TRUE,2,FALSE,0,0,6,73,1,1.7141,0.07,671.3428,32.6441,1373.5606,63.3656
Paris,339.5004,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,8,73,0,0.8833,0.1848,459.5596,22.3461,1114.3343,51.4068
Paris,312.9369,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,8,73,1,2.3832,0.1752,430.0253,20.91,997.4659,46.0154
Paris,207.8479,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,7,73,0,5.24,0.183,277.7172,13.504,610.103,28.1455
Paris,195.4982,Weekend,Private room,FALSE,TRUE,2,FALSE,1,0,7,73,1,4.073,0.296,220.3172,10.7129,479.4022,22.1159
Paris,195.7312,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,9,73,0,3.111,0.103,352.6095,17.1457,777.9162,35.8871
Rome,126.7155,Weekday,Private room,FALSE,TRUE,2,FALSE,0,1,8,73,1,2.4174,0.1037,209.9406,4.6523,594.4045,12.9419
Rome,146.354,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,73,0,4.5911,0.3719,428.5974,9.4978,809.4826,17.6247
Rome,273.0695,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,7,73,0,2.508,1.1378,1033.25,22.897,2245.1376,48.883
Rome,170.6684,Weekday,Private room,FALSE,TRUE,2,FALSE,0,1,9,73,1,3.0912,1.0874,673.8184,14.9319,1496.1873,32.5762
Rome,149.8609,Weekday,Private room,FALSE,TRUE,2,FALSE,1,0,9,73,1,6.6235,0.199,113.5063,2.5153,371.7422,8.0939
Rome,236.1303,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,8,73,2,3.3003,1.4246,280.7176,6.2208,688.508,14.9908
Rome,149.8609,Weekday,Private room,FALSE,TRUE,2,FALSE,0,1,9,73,1,0.3776,0.2981,436.3811,9.6703,1201.9352,26.1695
Rome,101.2321,Weekday,Private room,FALSE,TRUE,2,FALSE,0,0,9,73,1,4.3049,1.2349,271.8372,6.024,753.7176,16.4106
Rome,146.354,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,73,0,4.5911,0.3719,428.5994,9.4958,809.4848,17.6367
Rome,306.268,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,5,73,1,1.0561,0.2146,845.2244,18.7263,1768.6484,38.5346
Rome,104.0376,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,9,73,1,2.3854,0.066,283.3655,6.2781,756.0924,16.4734
Rome,273.7708,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,7,73,0,2.508,1.1378,1033.29,22.893,2245.2006,48.9175
Rome,171.136,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,9,73,1,3.0912,1.0874,673.8201,14.9288,1496.1757,32.598
Rome,150.0947,Weekend,Private room,FALSE,TRUE,2,FALSE,1,0,9,73,1,6.6235,0.199,113.5063,2.5148,371.7415,8.0993
Rome,271.6667,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,8,73,2,3.3003,1.4246,280.7172,6.2194,688.508,15.0009
Rome,150.3285,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,9,73,1,0.3776,0.2981,436.3806,9.6682,1201.9357,26.1873
Rome,101.6997,Weekend,Private room,FALSE,TRUE,2,FALSE,0,0,9,73,1,4.3049,1.2349,271.8366,6.0227,753.717,16.4217
Vienna,83.4444,Weekday,Private room,FALSE,TRUE,2,FALSE,0,1,7,73,0,2.5822,0.3562,84.5589,6.0558,128.724,3.0772
Vienna,83.4444,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,7,73,0,2.5822,0.3562,84.5585,6.0555,128.7233,3.1112
Amsterdam,371.1949,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,7,74,1,1.3404,0.8436,361.5893,19.1464,338.1162,23.5604
Barcelona,340.2611,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,74,0,0.9994,0.1805,853.9705,29.1047,1765.6881,38.8682
Barcelona,150.5807,Weekday,Private room,FALSE,TRUE,2,FALSE,0,1,8,74,1,0.4333,0.1377,529.0982,18.0325,1318.7527,29.0298
Barcelona,138.9438,Weekday,Private room,FALSE,TRUE,2,FALSE,1,0,8,74,1,2.9349,0.3592,253.9771,8.656,494.5004,10.8855
Barcelona,150.5807,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,8,74,1,0.4333,0.1377,529.0943,20.4289,1318.743,28.9684
